2020-11-13 16:22:31 INFO  eBanking:23 - Entered Password
2020-11-13 16:22:31 INFO  eBanking:24 - Before Login Screenshot
2020-11-13 16:22:31 INFO  eBanking:27 - After Login Screenshot
2020-11-13 16:34:19 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:34:26 INFO  eBanking:22 - Entered Username
2020-11-13 16:34:26 INFO  eBanking:24 - Entered Password
2020-11-13 16:34:26 INFO  eBanking:25 - Before Login Screenshot
2020-11-13 16:34:27 INFO  eBanking:28 - After Login Screenshot
2020-11-13 16:34:49 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:34:56 INFO  eBanking:22 - Entered Username
2020-11-13 16:34:56 INFO  eBanking:24 - Entered Password
2020-11-13 16:34:56 INFO  eBanking:25 - Before Login Screenshot
2020-11-13 16:34:57 INFO  eBanking:28 - After Login Screenshot
2020-11-13 16:35:36 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:35:46 INFO  eBanking:22 - Entered Username
2020-11-13 16:35:46 INFO  eBanking:24 - Entered Password
2020-11-13 16:35:46 INFO  eBanking:25 - Before Login Screenshot
2020-11-13 16:35:47 INFO  eBanking:28 - After Login Screenshot
2020-11-13 16:53:49 INFO  eBanking:17 - Launch Banking App
2020-11-13 16:54:00 INFO  eBanking:22 - Entered Username
2020-11-13 16:54:00 INFO  eBanking:24 - Entered Password
2020-11-13 16:54:00 INFO  eBanking:25 - Before Login Screenshot
2020-11-13 16:54:15 INFO  eBanking:28 - After Login Screenshot
2020-11-13 16:56:00 INFO  eBanking:17 - Launch Banking App
2020-11-13 17:00:42 INFO  eBanking:17 - Launch Banking App
2020-11-13 17:00:48 INFO  eBanking:22 - Entered Username
2020-11-13 17:00:48 INFO  eBanking:24 - Entered Password
2020-11-13 17:00:48 INFO  eBanking:25 - Before Login Screenshot
2020-11-13 17:00:49 INFO  eBanking:28 - After Login Screenshot
2020-11-13 17:09:00 INFO  eBanking:17 - Launch Banking App
2020-11-13 17:09:21 INFO  eBanking:22 - Entered Username
2020-11-13 17:09:21 INFO  eBanking:24 - Entered Password
2020-11-13 17:09:21 INFO  eBanking:25 - Before Login Screenshot
2020-11-13 17:09:24 INFO  eBanking:28 - After Login Screenshot
2020-11-13 17:12:17 INFO  eBanking:17 - Launch Banking App
2020-11-13 17:16:37 INFO  eBanking:17 - Launch Banking App
2020-11-13 17:16:44 INFO  eBanking:22 - Entered Username
2020-11-13 17:16:44 INFO  eBanking:24 - Entered Password
2020-11-13 17:16:44 INFO  eBanking:25 - Before Login Screenshot
2020-11-13 17:16:46 INFO  eBanking:28 - After Login Screenshot
2020-11-13 17:16:49 INFO  eBanking:35 - Taking Screenshots
2020-11-13 17:18:44 INFO  eBanking:17 - Launch Banking App
2020-11-13 17:18:51 INFO  eBanking:22 - Entered Username
2020-11-13 17:18:51 INFO  eBanking:24 - Entered Password
2020-11-13 17:18:51 INFO  eBanking:25 - Before Login Screenshot
2020-11-13 17:18:53 INFO  eBanking:28 - After Login Screenshot
2020-11-13 17:18:56 INFO  eBanking:35 - Taking Screenshots
2020-11-13 17:18:57 INFO  eBanking:41 - Taking Screenshots Pass
2020-11-17 18:55:42 INFO  eBanking:17 - Launch Banking App
2020-11-17 18:55:51 INFO  eBanking:22 - Entered Username
2020-11-17 18:55:51 INFO  eBanking:24 - Entered Password
2020-11-17 18:55:51 INFO  eBanking:25 - Before Login Screenshot
2020-11-17 18:55:54 INFO  eBanking:28 - After Login Screenshot
2020-11-17 18:55:57 INFO  eBanking:35 - Taking Screenshots
2020-11-17 18:55:57 INFO  eBanking:41 - Taking Screenshots Pass
2020-11-17 19:02:24 INFO  eBanking:17 - Launch Banking App
2020-11-17 19:02:45 INFO  eBanking:22 - Entered Username
2020-11-17 19:02:45 INFO  eBanking:24 - Entered Password
